Transaction,Items
A0001,citrus fruit
A0001,margarine
A0001,ready soups
A0001,semi-finished bread
A0002,coffee
A0002,tropical fruit
A0002,yogurt
A0003,whole milk
A0004,cream cheese 
A0004,meat spreads
A0004,pip fruit
A0004,yogurt
A0005,condensed milk
A0005,long life bakery product
A0005,other vegetables
A0005,whole milk
A0006,abrasive cleaner
A0006,butter
A0006,rice
A0006,whole milk
A0006,yogurt
A0007,rolls/buns
A0008,bottled beer
A0008,liquor (appetizer)
A0008,other vegetables
A0008,rolls/buns
A0008,UHT-milk
A0009,pot plants
A0010,cereals
A0010,whole milk
A0011,bottled water
A0011,chocolate
A0011,other vegetables
A0011,tropical fruit
A0011,white bread
A0012,bottled water
A0012,butter
A0012,citrus fruit
A0012,curd
A0012,dishes
A0012,flour
A0012,tropical fruit
A0012,whole milk
A0012,yogurt
A0013,beef
A0014,frankfurter
A0014,rolls/buns
A0014,soda
A0015,chicken
A0015,tropical fruit
A0016,butter
A0016,fruit/vegetable juice
A0016,newspapers
A0016,sugar
A0017,fruit/vegetable juice
A0018,packaged fruit/vegetables
A0019,chocolate
A0020,specialty bar
A0021,other vegetables
A0022,butter milk
A0022,pastry
A0023,whole milk
A0024,cream cheese 
A0024,detergent
A0024,newspapers
A0024,processed cheese
A0024,tropical fruit
A0025,bathroom cleaner
A0025,candy
A0025,flour
A0025,frozen dessert
A0025,other vegetables
A0025,rolls/buns
A0025,root vegetables
A0025,salty snack
A0025,sweet spreads
A0025,tropical fruit
A0025,waffles
A0026,bottled water
A0026,canned beer
A0027,yogurt
A0028,chocolate
A0028,rolls/buns
A0028,sausage
A0028,soda
A0029,other vegetables
A0030,brown bread
A0030,canned beer
A0030,fruit/vegetable juice
A0030,newspapers
A0030,shopping bags
A0030,soda
A0031,beverages
A0031,bottled water
A0031,specialty bar
A0031,yogurt
A0032,bottled water
A0032,hamburger meat
A0032,hygiene articles
A0032,napkins
A0032,other vegetables
A0032,rolls/buns
A0032,spices
A0033,beverages
A0033,other vegetables
A0033,root vegetables
A0033,sugar
A0033,whole milk
A0034,abrasive cleaner
A0034,artif. sweetener
A0034,berries
A0034,other vegetables
A0034,pork
A0034,soda
A0034,whipped/sour cream
A0034,whole milk
A0035,beef
A0035,detergent
A0035,grapes
A0036,pastry
A0036,soda
A0037,fruit/vegetable juice
A0038,canned beer
A0039,dessert
A0039,other vegetables
A0039,root vegetables
A0039,whole milk
A0040,citrus fruit
A0040,newspapers
A0040,zwieback
A0041,canned beer
A0041,rolls/buns
A0041,sausage
A0041,shopping bags
A0041,soda
A0041,specialty bar
A0042,brown bread
A0042,candy
A0042,cereals
A0042,coffee
A0042,domestic eggs
A0042,pastry
A0042,root vegetables
A0042,soda
A0042,sugar
A0042,tropical fruit
A0042,waffles
A0042,whole milk
A0042,yogurt
A0043,berries
A0043,yogurt
A0044,canned beer
A0045,bottled water
A0045,butter milk
A0045,cream cheese 
A0045,newspapers
A0045,rolls/buns
A0045,soda
A0045,spread cheese
A0045,yogurt
A0046,coffee
A0047,bottled water
A0047,pastry
A0048,rolls/buns
A0049,misc. beverages
A0050,bottled water
A0050,butter
A0050,curd
A0050,hard cheese
A0050,long life bakery product
A0050,other vegetables
A0050,rolls/buns
A0050,root vegetables
A0050,UHT-milk
A0050,whipped/sour cream
A0051,cat food
A0051,newspapers
