Person ID,Party,Type,Vote
1A,democrat,handicapped-infants,0
2A,republican,handicapped-infants,0
3A,democrat,handicapped-infants,1
4A,democrat,handicapped-infants,1
5A,democrat,handicapped-infants,1
6A,democrat,handicapped-infants,1
7A,democrat,handicapped-infants,1
8A,republican,handicapped-infants,1
9A,democrat,handicapped-infants,1
10A,republican,handicapped-infants,0
11A,democrat,handicapped-infants,1
12A,republican,handicapped-infants,0
13A,democrat,handicapped-infants,1
14A,republican,handicapped-infants,0
15A,republican,handicapped-infants,1
16A,republican,handicapped-infants,0
17A,democrat,handicapped-infants,1
18A,democrat,handicapped-infants,1
19A,democrat,handicapped-infants,1
20A,democrat,handicapped-infants,1
21A,democrat,handicapped-infants,1
22A,democrat,handicapped-infants,1
23A,republican,handicapped-infants,1
24A,republican,handicapped-infants,0
25A,republican,handicapped-infants,0
26A,republican,handicapped-infants,0
27A,republican,handicapped-infants,0
28A,republican,handicapped-infants,0
29A,democrat,handicapped-infants,1
30A,republican,handicapped-infants,1
31A,republican,handicapped-infants,0
32A,republican,handicapped-infants,0
33A,democrat,handicapped-infants,1
34A,republican,handicapped-infants,1
35A,republican,handicapped-infants,1
36A,democrat,handicapped-infants,1
37A,democrat,handicapped-infants,0
38A,democrat,handicapped-infants,0
39A,democrat,handicapped-infants,1
40A,republican,handicapped-infants,0
41A,republican,handicapped-infants,0
42A,republican,handicapped-infants,0
43A,democrat,handicapped-infants,0
44A,republican,handicapped-infants,0
45A,republican,handicapped-infants,0
46A,democrat,handicapped-infants,0
47A,democrat,handicapped-infants,1
48A,democrat,handicapped-infants,1
49A,democrat,handicapped-infants,1
50A,democrat,handicapped-infants,1
51A,democrat,handicapped-infants,1
52A,democrat,handicapped-infants,1
53A,democrat,handicapped-infants,1
54A,democrat,handicapped-infants,1
55A,democrat,handicapped-infants,1
56A,republican,handicapped-infants,0
57A,democrat,handicapped-infants,0
58A,democrat,handicapped-infants,1
59A,republican,handicapped-infants,1
60A,democrat,handicapped-infants,0
61A,republican,handicapped-infants,0
62A,republican,handicapped-infants,0
63A,democrat,handicapped-infants,0
64A,republican,handicapped-infants,0
65A,republican,handicapped-infants,0
66A,republican,handicapped-infants,0
67A,democrat,handicapped-infants,0
68A,democrat,handicapped-infants,1
69A,republican,handicapped-infants,0
70A,republican,handicapped-infants,0
71A,republican,handicapped-infants,0
72A,democrat,handicapped-infants,0
73A,republican,handicapped-infants,0
74A,democrat,handicapped-infants,0
75A,republican,handicapped-infants,1
76A,democrat,handicapped-infants,0
77A,democrat,handicapped-infants,0
78A,republican,handicapped-infants,0
79A,republican,handicapped-infants,1
80A,republican,handicapped-infants,0
81A,democrat,handicapped-infants,0
82A,democrat,handicapped-infants,0
83A,democrat,handicapped-infants,0
84A,republican,handicapped-infants,0
85A,republican,handicapped-infants,1
86A,republican,handicapped-infants,1
87A,democrat,handicapped-infants,1
88A,democrat,handicapped-infants,0
89A,democrat,handicapped-infants,0
90A,republican,handicapped-infants,0
91A,democrat,handicapped-infants,1
92A,democrat,handicapped-infants,0
93A,democrat,handicapped-infants,0
94A,democrat,handicapped-infants,0
95A,democrat,handicapped-infants,1
96A,democrat,handicapped-infants,0
97A,democrat,handicapped-infants,0
98A,democrat,handicapped-infants,0
99A,democrat,handicapped-infants,1
100A,democrat,handicapped-infants,1
101A,democrat,handicapped-infants,1
102A,republican,handicapped-infants,0
103A,democrat,handicapped-infants,0
104A,republican,handicapped-infants,0
105A,democrat,handicapped-infants,1
106A,democrat,handicapped-infants,0
107A,republican,handicapped-infants,0
108A,democrat,handicapped-infants,0
109A,democrat,handicapped-infants,0
110A,republican,handicapped-infants,1
111A,republican,handicapped-infants,0
112A,democrat,handicapped-infants,0
113A,republican,handicapped-infants,0
114A,democrat,handicapped-infants,0
115A,republican,handicapped-infants,0
116A,republican,handicapped-infants,0
117A,republican,handicapped-infants,0
118A,republican,handicapped-infants,0
119A,republican,handicapped-infants,0
120A,democrat,handicapped-infants,0
121A,democrat,handicapped-infants,1
122A,republican,handicapped-infants,0
123A,democrat,handicapped-infants,1
124A,democrat,handicapped-infants,1
125A,democrat,handicapped-infants,1
126A,republican,handicapped-infants,0
127A,republican,handicapped-infants,0
128A,democrat,handicapped-infants,1
129A,republican,handicapped-infants,0
130A,democrat,handicapped-infants,1
131A,democrat,handicapped-infants,1
132A,republican,handicapped-infants,0
133A,democrat,handicapped-infants,0
134A,democrat,handicapped-infants,1
135A,democrat,handicapped-infants,1
136A,democrat,handicapped-infants,1
137A,republican,handicapped-infants,0
138A,republican,handicapped-infants,1
139A,democrat,handicapped-infants,1
140A,democrat,handicapped-infants,1
141A,republican,handicapped-infants,1
142A,republican,handicapped-infants,0
143A,republican,handicapped-infants,0
144A,republican,handicapped-infants,0
145A,republican,handicapped-infants,0
146A,democrat,handicapped-infants,0
147A,republican,handicapped-infants,0
148A,democrat,handicapped-infants,0
149A,democrat,handicapped-infants,1
150A,democrat,handicapped-infants,1
151A,democrat,handicapped-infants,1
152A,republican,handicapped-infants,0
153A,democrat,handicapped-infants,0
154A,democrat,handicapped-infants,0
