title,description,News Feed,Extraction Date,
In pictures: Assault on Sloviansk,Operation against pro-Russian separatists,BBC,4/24/2014,
Your pictures: Monuments,"Readers' photos on the theme of ""Monuments""",BBC,4/24/2014,
In pictures: Anzac Day,Remember those who fought and died for their countries,BBC,4/25/2014,
VIDEO: Baby deer 'no bigger than a hamster',"A baby Java mouse-deer, one of the smallest hoofed animals in the world, has been born at the Bioparc Fuengirola zoo in southern Spain.",BBC,4/25/2014,
Week in pictures: 19-25 April 2014,News photos from the past week,BBC,4/25/2014,
VIDEO: Rare footage of Tibet snow leopard,A snow leopard has been filmed in Tibet after eating a herdsman's sheep and becoming too full to run away.,BBC,4/26/2014,
Surprise! Catcher is soldier dad,Soldier Ian Jones returns from a deployment in Afghanistan and surprises his wife and son at a Fisher Cats game.,CNN,4/27/2014,
Why this 23-year-old has 24 kids,It's a sunny April afternoon at the University of Rwanda College of Education in Kigali. Some students huddle in groups conversing in hushed voices; others hurry between buildings carrying books. Exams begin in a week.,CNN,4/27/2014,
Check for fifties under the mattress,"There are still millions of Houblon £50 notes in circulation, days before they are due to be withdrawn.",BBC,4/28/2014,
Day in pictures: 28 April 2014,News photos from past 24 hours: 28 April,BBC,4/28/2014,
Guide to the 2014 elections,Guide to the European and English local elections on 22 May,BBC,4/28/2014,
Children allege torture and abuse,CNN's Reza Sayah speaks to a teenager who claims he's one of hundreds being illegally detained and tortured in Egypt.,CNN,4/28/2014,
"It looks like a puppy, but it's not ...",A family was surprised to learn the abandoned 'puppy' they rescued turned out to be anything but. CBC News reports.,CNN,4/28/2014,
New Dove beauty ad goes too far?,Dove's latest viral ad campaign has hurt a lot of feelings. Kelly Wallace tells everybody to lighten up.,CNN,4/28/2014,
Outrage: 'What's the captain doing?',A teen's father gave a South Korean TV network footage from his dead son's cell phone. Another video showing the captain escaping from the sinking ship has sparked outrage.,CNN,4/28/2014,
"A swift punishment, but is it a just one?",The debate over the banning of LA Clippers' Donald Sterling,BBC,4/29/2014,
Alliance Party office petrol bombed,Three petrol bombs are thrown at an Alliance Party office in east Belfast.,BBC,4/29/2014,
Amanda Knox 'delivered fatal blow',The Italian judges who reinstated the guilty verdict against Amanda Knox say she delivered the knife blow that killed UK student Meredith Kercher.,BBC,4/29/2014,
AUDIO: Mum of SEN kids explains 21-hour day,A mother who has three children with special educational needs shares her audio diary of a typical morning.,BBC,4/29/2014,
Azraq: How a refugee camp is built from scratch,What goes into designing a refugee camp in the desert?,BBC,4/29/2014,
Baby ashes report to be released,The results of an inquiry into the baby ashes scandal at Mortonhall crematorium in Edinburgh are due to be published.,BBC,4/29/2014,
Bank outlines economic doomsday scenario,Bank outlines economic doomsday scenario,BBC,4/29/2014,
Bayern Munich 0-4 Real Madrid (agg 0-5),Real Madrid sail into their first Champions League final since 2002 with a one-sided away win over holders Bayern Munich.,BBC,4/29/2014,
Cast announced for new Star Wars,"Original Star Wars actors Harrison Ford, Carrie Fisher and Mark Hamill will feature in Star Wars: Episode VII, it is confirmed.",BBC,4/29/2014,
Celebrity chef denies discrimination,Celebrity chef Stephen Terry denies allegations of sexual discrimination made against his restaurant by a young female chef.,BBC,4/29/2014,
"Damon Albarn on life, elephants and gospel","Blur's frontman on phones, elephants and gospel music",BBC,4/29/2014,
Day in pictures: 29 April 2014,News photos from past 24 hours: 29 April,BBC,4/29/2014,
Donald Trump buys Turnberry resort,"US property tycoon Donald Trump has bought the Turnberry golf resort for an undisclosed sum, BBC Scotland learns.",BBC,4/29/2014,
Dubai jails Scorpions drummer Kottak,"The US drummer for the German rock band Scorpions has been sentenced to one month in jail in Dubai for offensive behaviour, local media say.",BBC,4/29/2014,
ENO branches out into musicals,English National Opera is to stage modern musicals in an attempt to secure its financial future.,BBC,4/29/2014,
Farage 'MP bid' and teacher tributes - papers,Some papers view the prospect of a by-election in Newark as an opportunity for UKIP's Nigel Farage. Others focus on tributes to murdered teacher Ann Maguire.,BBC,4/29/2014,
Fossil fuel subsidies growing despite concerns,It's not just renewable energies that receive subsidies,BBC,4/29/2014,
Government PC made Muslim wiki edit,The charity that represents Wikipedia in the UK has condemned edits made from government computers after more insults and vandalism emerged.,BBC,4/29/2014,
Gunmen storm Libyan parliament,"Gunmen storm Libya's parliament and start shooting, forcing MPs to abandon a special session to elect a new prime minister.",BBC,4/29/2014,
Heartbleed used against net thieves,The Heartbleed bug is being used to grab information from closed chatrooms where cyber thieves gather to trade data.,BBC,4/29/2014,
Home staff suspended over poor care,Eight staff members are suspended from an Essex care home after an undercover Panorama investigation finds poor care.,BBC,4/29/2014,
In pictures: Fatal teacher stabbing,Community in shock after stabbing of Ann Maguire,BBC,4/29/2014,
In pictures: US deadly tornadoes,Storm system sweeps across the central and southern US,BBC,4/29/2014,
Iraq: Bloodshed and strife cast pall over polls,Iraq riven by violence and strife as country heads to polls,BBC,4/29/2014,
LA Clippers owner banned for life,The owner of the Los Angeles Clippers pro-basketball team is banned from the sport for life after making racist remarks on tape.,BBC,4/29/2014,
Labour wants 'school standards tsars',"Labour is calling for a clearer structure for supervising different types of state-funded schools, including academies and free schools.",BBC,4/29/2014,
Life for teen who killed father,A County Tyrone teenager who killed his father will spend at least ten years of a life sentence in jail.,BBC,4/29/2014,
Megacities contend with sinking land,"Subsiding land is a bigger immediate problem for some of the world's big coastal cities than sea level rise, say scientists.",BBC,4/29/2014,
Mexico 'cartel ties' mayor detained,"The mayor of Lazaro Cardenas, one of Mexico's largest port cities, is arrested on suspicion of having links with a drugs cartel.",BBC,4/29/2014,
Mourinho attacks critics of style,"Chelsea manager Jose Mourinho criticises ""philosophers"" who have questioned his side's tactics in recent matches.",BBC,4/29/2014,
New zero-hours contract figures due,The Office for National Statistics is due to unveil new figures showing the number of zero-hours contracts in the UK.,BBC,4/29/2014,
'Robin Hood' tax battles in EU,UK fights EU plan to tax bank trades,BBC,4/29/2014,
Rocket launch debris found in Amazon,A Brazilian fisherman in a remote Amazon region river finds debris from a European satellite launch from a base in neighbouring French Guyana.,BBC,4/29/2014,
Rutherford jump legal despite protests,"Greg Rutherford's new British long jump record is legal, insists USA Track and Field, after claims he overstepped.",BBC,4/29/2014,
Satellite debris found in Amazon,A Brazilian fisherman in a remote Amazon region river finds debris from a European satellite launched from a base in neighbouring French Guyana.,BBC,4/29/2014,
Selby & Hawkins on brink of last four,Mark Selby and Barry Hawkins close in on Crucible semi-final places while Ronnie O'Sullivan and Judd Trump lead 6-2.,BBC,4/29/2014,
Stabbed teacher was due to retire,"A teacher stabbed to death in front of her pupils at a Leeds school is described by the head teacher as ""inspirational"", as it emerges she was to retire this year.",BBC,4/29/2014,
Syria blasts kill dozens in Homs,"At least 37 people are killed in explosions in the Syrian city of Homs, after at least 14 die in a mortar attack in Damascus, officials say.",BBC,4/29/2014,
The man with 42 hours to get home,A man who is always travelling - and always rushing home,BBC,4/29/2014,
The problem of re-inventing spectacles,"Innovations such as Google Glass have attracted much attention, but how tricky is it to re-design a classic pair of glasses?",BBC,4/29/2014,
The return of the dimpled pint glass,The return of the dimpled pint jug,BBC,4/29/2014,
Thirteen jailed for prison van break,Two men who escaped from a prison van after an armed ambush are jailed along with the gang that helped free them.,BBC,4/29/2014,
Three-week black bin collection plan,The first three-weekly collections for black bag household rubbish in Wales are approved by Gwynedd council.,BBC,4/29/2014,
Tottenham talk to Ajax about De Boer,Dutch champions Ajax say Tottenham have contacted them about the availability of coach Frank de Boer.,BBC,4/29/2014,
Turkey to seek cleric's extradition,"Turkey is to start extradition proceedings against the US-based cleric Fethullah Gulen, PM Recep Tayyip Erdogan says.",BBC,4/29/2014,
Two people killed in house blaze,"Two people are killed in a house blaze in Garforth, near Leeds.",BBC,4/29/2014,
Ukraine rebels storm Luhansk offices,"Pro-Russia activists seize official buildings in the eastern Ukrainian city of Luhansk, as the US tells Russia to ""leave Ukraine in peace"".",BBC,4/29/2014,
US high court weighs phone searches,The US Supreme Court hears arguments over whether police may search a suspect's mobile phone without a warrant at the time of an arrest.,BBC,4/29/2014,
Venezuela ex-intelligence chief shot,"Major Eliecer Otaiza, who served as the head of the Venezuelan intelligence service under President Hugo Chavez, has been killed, officials say.",BBC,4/29/2014,
VIDEO: Cable defends Royal Mail sale price,"The UK Business Secretary, Vince Cable, stands by the initial pricing of Royal Mail shares, as he gives evidence to a parliamentary committee.",BBC,4/29/2014,
VIDEO: CCTV of Salford prison van ambush,"Footage of an ambush of a police van in Greater Manchester, in which two prisoners escaped, has been released by police.",BBC,4/29/2014,
VIDEO: Deadly US tornado death toll rises,"Powerful storms are barrelling down on the southern US for a second night, raising the death toll above 20.",BBC,4/29/2014,
VIDEO: House of Commons,The chancellor hails GDP growth figures but says the recovery cannot be taken for granted.,BBC,4/29/2014,
"VIDEO: 'I'm in remission, thank god'",Parminder Sangha believes her positive attitude helped her overcome a brain tumour that could have killed her.,BBC,4/29/2014,
VIDEO: Is Ed Miliband likely to make PM?,An unscientific test with plastic balls aims to find out if the Labour leader has what it takes to be the next PM.,BBC,4/29/2014,
VIDEO: Making music the old way,The people making music with medieval instruments,BBC,4/29/2014,
VIDEO: Parents welcome acne drug review,"A father campaigning for a ban on an acne drug taken by his son who later committed suicide, welcomes a government decision to review its use.",BBC,4/29/2014,
VIDEO: Pro-Russia activists take Luhansk offices,Pro-Russia activists have stormed several official buildings in the eastern Ukrainian city of Luhansk.,BBC,4/29/2014,
VIDEO: SA mine shootings inspire song,South African singer/songwriter Simphiwe Dana has released a song inspired by the Marikana tragedy in which the police shot striking mine workers in August 2012.,BBC,4/29/2014,
VIDEO: Students pay tribute to stabbed teacher,"Students past and present pay tribute to teacher Ann Maguire, who was stabbed to death in front of her pupils at a Leeds school.",BBC,4/29/2014,
VIDEO: Woman falls 30ft at Wells Cathedral,"A women has been airlifted from the roof of Wells Cathedral, after falling and becoming stuck for three hours.",BBC,4/29/2014,
Zimbabwe's Tsvangirai 'expels' rival,"Zimbabwe's opposition leader Morgan Tsvangirai says his rival Tendai Biti has been expelled from their MDC party, along with eight other members.",BBC,4/29/2014,
11 stunning new museums in China,"With its expansive steel skin, tall parasol-shaped concrete pillars, and huge vestigial coal hoppers, the 33,000-square-meter Long Museum West Bund makes a grand impression in a former industrial site beside Shanghai's Huangpu River.",CNN,4/29/2014,
9 best Twitter shout-outs,"The NBA's decision to ban Clippers owner Donald Sterling united players, owners and others in their praise for the league.",CNN,4/29/2014,
Air search ends; families hear plane-ground audio,"After seven weeks of an intense but fruitless search, the international air effort to find Malaysia Airlines Flight 370 is over. Some ships will, however, stay on the Indian Ocean to gather any debris that might surface.",CNN,4/29/2014,
Amanda Knox,An Italian court says it convicted Amanda Knox and her former boyfriend of murdering her onetime roommate in part because of evidence showing that more than one person killed the British student.,CNN,4/29/2014,
Apparent heart attack kills inmate,"Oklahoma authorities halted an inmate's execution when his vein ""exploded,"" an official said. He later died, and another inmate's execution was delayed.",CNN,4/29/2014,
Apple cuts price of new MacBook Airs,"Apple has refreshed its line of MacBook Air notebooks, dropping in more powerful processors and knocking $100 off the price.",CNN,4/29/2014,
Booted from gym for 'belly hanging out',A woman claims she was kicked out of her gym because her exposed baby bump violated dress code. Nancy Grace reports.,CNN,4/29/2014,
Burglar caught wearing WHAT?,Police say a burglar was spotted on a restaurant's surveillance video walking around with a cardboard box on his head.,CNN,4/29/2014,
Classic show got away with WHAT?,"Sopranos fan? ""Breaking Bad"" binge-watcher? ""Mad Men"" admirer? Thank ""Hill Street Blues,"" which paved the way for modern novelistic television.",CNN,4/29/2014,
Clippers owner banned for life,Commissioner Adam Silver said he'll ask the board of governors to force the Clippers' sale after owner Donald Sterling's racist remarks.,CNN,4/29/2014,
Clooney hears clock ticking,Pepper Schwartz says George Clooney is in that landing pattern that middle-aged heartthrobs finally come to: time for home and family and a woman who is worthy of keeping his love.,CNN,4/29/2014,
CNN host: GOP is right on prisons,Van Jones explains how the United States has 25% of the world's prisoners yet we make up only 5% of the population.,CNN,4/29/2014,
Cops: Girl's school slasher said 'I did it',A 16-year-old Connecticut high school student suspected in the slashing death of a classmate was charged with murder as an adult Tuesday.,CNN,4/29/2014,
Court: Keep drug source secret,"Clayton Lockett and Charles Warner's executions are back on the schedule for next week after Oklahoma's high court lifted their stays, saying they had no right to know the source of the drugs that will be used to kill them.",CNN,4/29/2014,
Death penalty gradually declining,A shortage of lethal injection chemicals has contributed to declining use of capital punishment in the United States with a new report on Thursday noting only 39 executions this year.,CNN,4/29/2014,
Do you know where this is? ,"Each day, CNN producers select a user-submitted photo to be our Travel Photo of the Day. Click through the gallery above to see stunning shots from around the world, and be sure to come back every day for a new image. Have a gorgeous travel photo of your own to share? Submit it for the gallery at CNN iReport!",CNN,4/29/2014,
Doc Rivers: Let it run its course,Los Angeles Clippers coach Doc Rivers addressed the media before Wednesday night's playoff game against the Warriors.,CNN,4/29/2014,
Dying teen's bucket list is not normal,A teen with a terminal illness raised millions for charity as part of his bucket list,CNN,4/29/2014,
Extended racist rant released,"Longtime owner of the Los Angeles Clippers, Donald Sterling, is under fire for allegedly making racist remarks.",CNN,4/29/2014,
"Far from official search area, firm finds this","A private company says it has found what it believes to be plane wreckage in the ocean, but those searching for Malaysia Airlines Flight 370 dismiss the claim.",CNN,4/29/2014,
Fast Facts: Death penalty ,Here's a look at what you need to know about the death penalty in the United States.,CNN,4/29/2014,
FedEx attack,"Six people were injured Tuesday in a shooting at a FedEx facility in Kennesaw, Georgia, officials said.",CNN,4/29/2014,
"FedEx worker wounds 6, kills self","Six people were injured Tuesday in a shooting at a FedEx facility in Kennesaw, Georgia, officials said.",CNN,4/29/2014,
Ferguson leaving 'Late Late Show',"Comedian Craig Ferguson says he's leaving his gig as host of ""The Late Late Show"" to pursue other projects.",CNN,4/29/2014,
Firm says it believes it has found a plane,"A private company says it has found what it believes to be plane wreckage in the ocean, but those searching for Malaysia Airlines Flight 370 dismiss the claim.",CNN,4/29/2014,
Firm says it believes it has found a plane,"An Australian company says it has discovered what it believes to be the wreckage of a plane, but Flight 370 searchers say the claim doesn't match their data.",CNN,4/29/2014,
Flight 370 ,"After seven weeks of an intense but fruitless search, the international air effort to find Malaysia Airlines Flight 370 is over. Some ships will, however, stay on the Indian Ocean to gather any debris that might surface.",CNN,4/29/2014,
Girl dies after apparent bullying attack,"Authorities are investigating whether it was an extreme case of bullying that led to the death of a 17-year-old student in Argentina, after she was attacked by two women and another girl last week.",CNN,4/29/2014,
Hacker screams at baby over monitor,A couple awoke to a man's voice screaming at their 10-month-old through her baby monitor. WXIX reports on the scary hack.,CNN,4/29/2014,
Harper Lee OKs 'Mockingbird' e-book,"Reclusive author Harper Lee has agreed to allow ""To Kill a Mockingbird,"" to be released electronically, ending what had until now been a glaring holdout in the digital library of literary masterpieces.",CNN,4/29/2014,
Her poignant post just before she died,Police say a 32-year-old woman crashed head on into a truck while using Facebook on her phone.,CNN,4/29/2014,
Is GeoResonance on to something? ,"The Australian company GeoResonance claims it has found the wreckage of a plane in the Bay of Bengal. The company is not saying that what they found is missing Malaysia Airlines Flight 370, but it is urging official searchers to take a look. So far, Malaysian officials say they are investigating the credibility of the claim, while Australian searchers and a satellite company say they are confident that the plane is in a different area.",CNN,4/29/2014,
Italian court explains Knox conviction,An Italian appeals court said Tuesday it convicted Amanda Knox and her former boyfriend of murdering her onetime roommate in part because of evidence that more than one person killed the British student.,CNN,4/29/2014,
Kerry's apartheid remark hits nerve,"John Kerry wasn't the first to use the A-word -- apartheid -- when talking about Israel, and he likely won't be the last.",CNN,4/29/2014,
Kim Jong Un's weapons stockpile,North Korea loves saber-rattling. Here's a look at all the firepower they have stockpiled.,CNN,4/29/2014,
Lowe dishes on Playboy Mansion ,"Actor and writer Rob Lowe shares stories from his second book ""Love Life"" on ""New Day.""",CNN,4/29/2014,
MacBook Air,"Apple has refreshed its line of MacBook Air notebooks, dropping in more powerful processors and knocking $100 off the price.",CNN,4/29/2014,
NBA bans Sterling,NBA Commissioner Adam Silver today banned L.A. Clippers owner Donald Sterling from league activities for life over his racist remarks.,CNN,4/29/2014,
NBA commissioner: Sterling banned for life,"When Commissioner Adam Silver speaks to the media Tuesday about the NBA's findings in the investigation into racist remarks attributed to Clippers owner Donald Sterling, the league's players hope it includes the most severe penalties.",CNN,4/29/2014,
New charge in missing woman's case,A second man has been charged with murder in the 2011 disappearance of Tennessee nursing student Holly Bobo.,CNN,4/29/2014,
New phase in search,Australian Prime Minister Tony Abbott announces a new phase in the search for Flight 370.,CNN,4/29/2014,
Next 'Star Wars' features original stars,"The next ""Star Wars"" cast will include originals Mark Hamill, Harrison Ford and Carrie Fisher reprising their 1977 roles.",CNN,4/29/2014,
Opinion: Black Jews remark is trouble,"Robin Washington looks at comments attributed to Donald Sterling that slam black Jews in Israel. ""You go to Israel, the blacks are just treated like dogs,"" said a voice reported to be Sterling's.",CNN,4/29/2014,
Opinion: Sterling has got to go,"It's time for someone in the NBA to show some backbone, writes Mel Robbins. Donald Sterling, the owner of the Los Angeles Clippers, has got to go -- publicly.",CNN,4/29/2014,
Opinion: You'll hate Internet 'fast lane' ,Corynne McSherry says the public should voice their concerns about FCC's proposed rules that will end net neutrality.,CNN,4/29/2014,
Plane's metals sought,"An Australian exploration company, GeoResonance, searches for Flight MH370 by looking for the metals in the plane.",CNN,4/29/2014,
Rare victory for EPA in Supreme Court,A key part of the Obama administration's green policies received surprisingly strong Supreme Court support on Tuesday over efforts to curb air pollution.,CNN,4/29/2014,
Recordings released,"It sounds like standard radio chatter between an airplane and ground control, mostly repeating the identifying number of the flight.",CNN,4/29/2014,
River of bodies surfaces in Ukraine,"As the crisis in Ukraine continues, a river outside Slavyansk has become a bearer of bad news. Nick Paton Walsh reports.",CNN,4/29/2014,
See ferry captain flee in underwear,Anger builds as South Koreans learn more about the final moments of the doomed vessel. Nic Robertson reports.,CNN,4/29/2014,
'Star Wars: Episode VII',"The next ""Star Wars"" cast will include originals Mark Hamill, Harrison Ford and Carrie Fisher reprising their 1977 roles.",CNN,4/29/2014,
Storm system seen from space,CNN's Anderson Cooper surveys the damage from the tornadoes that touched down this week.,CNN,4/29/2014,
Storm threat for 70 million people,People from the Great Lakes to the Gulf Coast are advised to keep their eyes to the sky and their ears to the radio. The storm has so far claimed 29 lives in six states.,CNN,4/29/2014,
Storms,The scope is staggering. Some 62 million Americans are under threat of severe weather on Tuesday.,CNN,4/29/2014,
Teens get surprise on prom night,Strangers surprise Colorado teens on prom night by paying for their dinner. KUSA reports.,CNN,4/29/2014,
'To Kill a Mockingbird',"Reclusive author Harper Lee has agreed to allow ""To Kill a Mockingbird"" to be released electronically, ending what had until now been a glaring holdout in the digital library of literary masterpieces.",CNN,4/29/2014,
Toxicology report in on dead ex-SEALs,"Heroin and alcohol were blamed for the deaths of two American security officers aboard the infamous cargo ship Maersk Alabama, police in the Seychelles have concluded, citing a toxicology report on Tuesday.",CNN,4/29/2014,
Who is Sterling's girlfriend?,"CNN's Deborah Feyerick profiles V. Stiviano, the woman involved with Los Angeles Clippers owner Donald Sterling.",CNN,4/29/2014,
Amanda Knox Rejects Court's Reasoning for New Conviction,"Amanda Knox rejected an Italian court's contention Tuesday that she slit her British roommate's throat, saying there was still no credible evidence that she was involved in the 2007 murder.",NBCNews,4/29/2014,
Colorado Symphony Hooks Up With Pot Industry,DENVER — The Colorado Symphony Orchestra said Tuesday it will play a series of &quot;cannabis-friendly&quot; fundraising concerts sponsored by the state's burgeoning pot industry.,NBCNews,4/29/2014,
Congressman Grayson Seeks Annulment After Accusing Wife of Bigamy,"A Florida congressman's already ugly divorce has taken a bizarre turn after he said in court papers that he was never actually married to his wife of 24 years.In documents filed last week in 9th Circuit Court in Orange County and made public Tuesday by his lawyers, Rep. Alan Grayson, D-Fla.",NBCNews,4/29/2014,
Protesters Seize New Building in Eastern Ukraine,"LUHANSK, Ukraine — Protesters demanding more power for Ukraine's regions stormed the government building in Luhansk with baseball bats Tuesday, seizing control of a key site in one of the largest cities in Ukraine's troubled east.",NBCNews,4/29/2014,
Suspect in Fatal Stabbing of Classmate Charged as an Adult,"A teen accused of stabbing his classmate to death, hours before the prom, was arraigned Tuesday and charged with murder as an adult.",NBCNews,4/29/2014,
Theft Ring Targets Distracted Shoppers at California Stores,"A sophisticated theft ring is targeting shoppers and making off with wallets, purses and cellphones in the blink of an eye.",NBCNews,4/29/2014,
Watch Live Hockey: Rangers Face the Flyers,It's Game 6.,NBCNews,4/29/2014,
A Grim Toll as Storms Sweep South and Midwest,"At least 34 people were killed as severe weather spawned tornadoes and flooded streets, and more storms were forecast.",NY Times,4/29/2014,
ArtsBeat: ‘Gentleman’s Guide’ and ‘Hedwig’ Lead the Tony Nominations Field,"The musical “A Gentleman’s Guide to Love & Murder” earned 10 nominations, followed by “Hedwig and the Angry Inch,” which got eight.",NY Times,4/29/2014,
Cast Is Announced for Next ‘Star Wars’ Film,The seventh installment of the space epic will feature seven newcomers and six stalwarts.,NY Times,4/29/2014,
Heroin and Alcohol Led to the Deaths of Ex-SEALs,"Autopsies of Jeffrey Reynolds and Mark Kennedy, the former SEALs, revealed that the men died of respiratory failure and possible heart attacks.",NY Times,4/29/2014,
"Moscow Journal: Amid a Revived East-West Chill, Cold War Relics Draw New Interest","At the Museum of the Cold War, visitors are drawn as much by history as by the sense that current crises have reignited the conflict between East and West.",NY Times,4/29/2014,
N.B.A. Bars Clippers Owner Donald Sterling for Life,"Adam Silver, the league’s commissioner, also said he would try to force Donald Sterling to sell the team in the aftermath of racist remarks by Sterling that became public.",NY Times,4/29/2014,
Oklahoma Set for Double Execution Amid Storm Over Lethal-Drug Secrecy,Clayton Lockett and Charles Warner were to be executed Tuesday evening after lengthy appeals over the state’s refusal to disclose the source of its lethal drugs.,NY Times,4/29/2014,
On Basketball: Ball Is in the N.B.A. Owners’ Court,"Though Mark Cuban, the outspoken owner of the Dallas Mavericks, suggested thinking twice before rushing to force Donald Sterling to sell the Clippers, the N.B.A. vote on the matter should be an uncontested layup.",NY Times,4/29/2014,
Tony Awards Ballot,Make your picks for the 68th annual Tony Awards.,NY Times,4/29/2014,
Tony Nominations Spread Across a Wide Stage,"The major races for Broadway’s Tony Awards will be unusually wide-open this spring, with the nominations showing more love for Shakespeare than for Hollywood.",NY Times,4/29/2014,
Turks to Seek Extradition of Preacher Living in U.S.,The Turkish prime minister has accused the Pennsylvania-based preacher’s followers of trying to undermine his government through a corruption investigation.,NY Times,4/29/2014,
A policy to test tenants of the House,Labour addresses private landlord and tenancy imbalances,BBC,4/30/2014,
